Symbol / Abbreviation,Name in r3PG Fortran code,3-PG species parameter,Description,Units
Nclass ,,,number of trees per ha within a given B or ws class,
nfN,fNn,*,Power of (1-FR) in fN ,
nfN,st_fN,,Power in fertility modifier (mort_model = 2),
nfPhys,st_fPhys,,Power in physmod modifier (mort_model = 2),
nfT,st_fT,,Power in temperature modifier (mort_model = 2),
nH1,nH1,*,Parameter of height equation,
nH2,nH2,*,Parameter of height equation,
nH3,nH3,*,Parameter of height equation,
nH4,nH4,*,Parameter of height equation,
nHL1,nHL1,*,Parameter of crown ratio equation,
nHL2,nHL2,*,Parameter of crown ratio equation,
nHL3,nHL3,*,Parameter of crown ratio equation,
nHL4,nHL4,*,Parameter of crown ratio equation,
nint,st_Intercept,,Intercept for self-thinning rule (mort_model = 2),ln(trees ha-1)
nK1,nK1,*,Parameter of crown diameter equation,
nK2,nK2,*,Parameter of crown diameter equation,
nK3,nK3,*,Parameter of crown diameter equation,
nK4,nK4,*,Parameter of crown diameter equation,
nm,thinPower,*,Power in self-thinning rule (mort_model = 1),
nm,st_Power,,Power in self-thinning rule (mort_model = 2),
Nmix,,,N adjusted using sp to represent a single cohort in a multi-cohort stand,trees per ha
NP.rem,manag_remove_prop,,proportion of trees removed by thinning,
Npost ,stems_n,,N after thinning,trees ha-1
NPP,NPP,,Net primary productivity,tDM ha-1
Npre ,stems_n,,N before thinning,trees ha-1
nVB,nVB,*,Power of DBH in the stem volume relationship,
nVBH,nVBH,*,Power of DBH^2 x height in the stem volume relationship,
nVH,nVH,*,Power of height in the stem volume relationship,
nWS,nWS,*,Power in the stem mass v. diam. relationship,
nθ,SWpower,*,"Power of moisture ratio deficit (can be provided as species parameter, but this will only be used if it wasn’t provided as a site parameter)",
PAR,RADt,,Photosynthetically active radiation,"µmol photons m-2 s-1, or MJ m-2 month-1"
pBB ,fracBB,,Fraction of ws that is branch and bark ,
Pcarbs ,prop_carbs,,"proportion of adjusted pre-fire foliage mass WF,pre,adj that can be used to produce new foliage (WF) + stem (WS) biomass in the first year after the fire",
pFS,pFS,,Ratio of ηF and ηS,
pFS2,pFS2,*,Ratio of ηF and ηS at a B of 2 cm,
pFS20,pFS20,*,Ratio of ηF and ηS at a B of 20 cm,
PG,GPP,,Gross primary productivity,tDM ha-1
phys_model,,,"setting, '1' = 3-PGpjs (default), min of fd and fθ; '2' = 3-PGmix, fd x fθ",
Pnpp ,prop_npp,,proportion of new photosynthesis that will be partitioned to foliage biomass,
PηSR,,,proportional change in stem and root partitioning following defoliation,
Qa ,Qa,,Intercept of net v. solar radiation relationship,W m-2
Qb ,Qb,,Slope of net v. solar radiation relationship,
ra ,aero_resist,,aerodynamic resistance ,s m-1
rage,rAge,*,Relative age to give fAGE = 0.5,
rasoil ,,,aerodynamic resistance above the soil ,s m-1
